BJBE,007 Everything or Nothing
AXDP,Mortal Kombat Deadly Alliance
AW4E,Mortal Kombat Tournament Edition
A3UJ,Mother 3
AMRE,Motocross Maniacs Advance
AD2J,Mr Driller 2
BR2E,Mr Driller 2
AD5J,Mr Driller Ace Fushigi na Pacteria
BPCE,Ms Pac-Man Maze Madness
AZME,The Muppets On with the Show
ANME,Namco Museum
ANDE,Nancy Drew Message in a Haunted Mansion
ANPJ,Napoleon
AUEJ,Naruto Konoha Senki
A7AE,Naruto Ninja Council
AZFE,Need for Speed Porsche Unleashed
BNSE,Need for Speed Underground
BNFE,Need for Speed Underground 2
ATXP,NGT Next Generation Tennis
ANXE,Ninja Five-O
BKRJ,Nonono Puzzle Chairian
BODP,Oddworld Munchs Oddysee
A6OE,Onimusha Tactics
BOAE,Open Season
BVEJ,Orbient
BOFD,Ottifanten-Pinball
BH5E,Over the Hedge
APCE,Pac-Man Collection
BP8E,Pac-Man Pinball Advance
APXE,Phalanx
AYCE,Phantasy Star Collection
AYCP,Phantasy Star Collection
APDE,The Pinball of the Dead
AP7P,Pink Panther Pinkadelic Pursuit
B8QE,Pirates of the Caribbean Dead Mans Chest
BPHE,Pitfall The Lost Expedition
APFE,Pitfall The Mayan Adventure
AKIJ,Pocky & Rocky with Becky
APKE,Pocky & Rocky with Becky
BPEE,Pokémon Emerald Version
BPEP,Pokémon Emerald Version
BPRE,Pokémon FireRed Version
BPRP,Pokémon FireRed Version
BPRF,Pokémon FireRed Version
BPGJ,Pokémon LeafGreen Version
BPGE,Pokémon LeafGreen Version
B24E,Pokémon Mystery Dungeon Red Rescue Team
BPPE,Pokémon Pinball Ruby & Sapphire
BPPP,Pokémon Pinball Ruby & Sapphire
AXVE,Pokémon Ruby Version
AXVD,Pokémon Ruby Version
AXPE,Pokémon Sapphire Version
AXPP,Pokémon Sapphire Version
BIIP,Polarium Advance
APOE,Popeye Rush for Spinach
AP3J,Power Pro Kun Pocket 3
BPMP,Premier Manager 2003-04
BPYE,Prince of Persia The Sands of Time
BRAE,Racing Gears Advance
ARYE,Rayman
BX5P,Rayman 10th Anniversary
BX5E,Rayman 10th Anniversary
AYZP,Rayman 3
AYZE,Rayman 3
BRYE,Rayman Hoodlums Revenge
BQ3E,Rayman Raving Rabbids
BQ3P,Rayman Raving Rabbids
AR2E,Ready 2 Rumble Boxing Round 2
BRLE,Rebelstar Tactical Command
BRIJ,Rhythm Tengoku
BDTE,River City Ransom
BREE,Riviera The Promised Land
A9RE,Road Rash Jailbreak
AQ2J,Road Trip Shifting Gears
ARBE,Robotech The Macross Saga
ARBP,Robotech The Macross Saga
BR4J,Rockman EXE 45 Real Operation
A4RE,Rock n Roll Racing
A4RP,Rock n Roll Racing
BVBJ,Rotohex
BR3E,R-Type III The Third Lightning
BR3P,R-Type III The Third Lightning
ARGE,Rugrats Castle Capers
